2023-07-28 16:39:41,572 | __main__ | INFO | simulation_options
2023-07-28 16:39:41,572 | __main__ | INFO | execution_options
2023-07-28 16:39:41,572 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 16:42:29,881 | __main__ | INFO | extract_amp_phase
2023-07-28 16:42:35,234 | __main__ | INFO | Max Pressure = 0.37282372470270453 MPa
2023-07-28 16:42:35,234 | __main__ | INFO | MI = 0.5272523678490179
2023-07-28 16:42:35,234 | __main__ | INFO | Coordinates of max pressure: (36, 64, 64).
2023-07-28 16:42:35,234 | __main__ | INFO | Location of max pressure: (36.00000000000001, 36.00000000000001, 64.0).
2023-07-28 16:42:35,234 | __main__ | INFO | Isppa = 4.633250990039933 W/cm2
2023-07-28 16:42:35,234 | __main__ | INFO | Ispta = 463.32509900399333 mW/cm2
2023-08-16 14:40:28,178 | __main__ | INFO | PPW = 3.0
2023-08-16 14:40:28,178 | __main__ | INFO | CFL = 0.3
2023-08-16 14:40:28,178 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-08-16 14:40:28,178 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-08-16 14:41:21,926 | __main__ | INFO | PPW = 3.0
2023-08-16 14:41:21,926 | __main__ | INFO | CFL = 0.3
2023-08-16 14:41:21,926 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-08-16 14:41:21,926 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-08-16 14:42:27,762 | __main__ | INFO | PPW = 3.0
2023-08-16 14:42:27,762 | __main__ | INFO | CFL = 0.3
2023-08-16 14:42:27,762 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-08-16 14:42:27,762 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-08-16 14:50:31,088 | __main__ | INFO | simulation_options
2023-08-16 14:50:31,090 | __main__ | INFO | execution_options
2023-08-16 14:50:31,091 | __main__ | INFO | kspaceFirstOrder3DG
2023-08-16 14:54:04,001 | __main__ | INFO | extract_amp_phase
2023-08-16 14:54:09,914 | __main__ | INFO | Max Pressure = 0.7822062449614564 MPa
2023-08-16 14:54:09,915 | __main__ | INFO | MI = 1.106206680197423
2023-08-16 14:54:09,915 | __main__ | INFO | Coordinates of max pressure: (64, 64, 80).
2023-08-16 14:54:09,915 | __main__ | INFO | Location of max pressure: (64.0, 64.0, 80.0).
2023-08-16 14:54:09,915 | __main__ | INFO | Isppa = 20.39488698855673 W/cm2
2023-08-16 14:54:09,916 | __main__ | INFO | Ispta = 2039.4886988556732 mW/cm2
2023-08-16 15:15:02,143 | __main__ | INFO | PPW = 3.0
2023-08-16 15:15:02,143 | __main__ | INFO | CFL = 0.3
2023-08-16 15:15:02,143 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-08-16 15:15:02,143 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-08-16 15:23:27,799 | __main__ | INFO | simulation_options
2023-08-16 15:23:27,801 | __main__ | INFO | execution_options
2023-08-16 15:23:27,802 | __main__ | INFO | kspaceFirstOrder3DG
2023-08-16 15:26:28,510 | __main__ | INFO | extract_amp_phase
2023-08-16 15:26:35,173 | __main__ | INFO | Max Pressure = 0.7822062449614564 MPa
2023-08-16 15:26:35,174 | __main__ | INFO | MI = 1.106206680197423
2023-08-16 15:26:35,174 | __main__ | INFO | Coordinates of max pressure: (64, 64, 80).
